date_created,borough,block,lot,current_uses,total_area,structure_completed,number_structures,total_gross_area_structures,ratio_building_to_floor_area,allowable_building_to_floor_area,land_use_category,community_board,census_tract,census_block,school_dist,council_district,fire_comp,police_prct,major_use,number_of_easements,commercial_floor_area,residential_floor_area,office_floor_area,retail_floor_area,garage_floor_area,storage_floor_area,factory_floor_area,other_floor_area,num_floors,residential_units,residential_and_non-residential_units,lot_front,lot_depth,bldg_front,bldg_depth,proximity_code,irr_lot_code,lot_type_code,bsmt_code,assess_land,exempt_land,exempt_tot,year_alter_1,year_alter_2,zone_dist_1,bin,structure_completed_2,new_zone_dist,assess_range
2013-12-11,1,111,150,TRANSL HSG - FAMILY,39875,1950,1,115659,2.9,3.44,8,103,25,2000,2,1,E009,5,W1,0,115659,0,115659,0,0,0,0,0,4.0,0,1,191.08,201.25,188.0,191.0,1,Y,6,2,3140100.0,3140100.0,4438800.0,0,0,R7-2,1083359,Yes,Residential,high
2013-12-11,1,111,160,"ELEMENTARY SCHOOL, PARK",117191,1965,2,111673,0.95,3.44,8,103,25,2000,2,1,E009,5,W1,0,111673,0,0,0,0,0,0,111673,4.0,0,0,425.0,401.25,250.0,145.0,0,Y,5,5,7910550.0,7910550.0,14660550.0,0,0,R7-2,1083357,Yes,Residential,high
2013-12-11,1,113,1,"PLAYING FIELD, ROAD/HIGHWAY",67553,0,0,0,0.0,10.0,11,101,15.01,2001,2,1,E006,5,V9,0,0,0,0,0,0,0,0,0,0.0,0,0,659.92,104.67,0.0,0.0,0,Y,1,5,7656120.0,7656120.0,7656120.0,0,0,C6-4,1000000,No,Commercial,high
2013-12-11,1,115,1,PARK,15264,0,0,0,0.0,0.0,9,103,27,1008,2,1,E009,5,Q9,0,0,0,0,0,0,0,0,0,0.0,0,0,188.92,148.0,0.0,0.0,0,Y,1,5,2414700.0,2414700.0,2414700.0,0,0,PARK,1000000,No,Park,high
2013-12-11,1,119,1,AGCY EXECUTVE OFFICE,152553,1973,1,1000518,6.56,10.0,5,101,29,4014,2,1,E006,5,O2,0,1000518,0,711424,0,187155,0,0,101939,16.0,0,0,382.0,334.42,335.0,245.0,0,Y,5,2,23804550.0,23804550.0,91006200.0,0,0,C6-4,1079143,Yes,Commercial,high
2013-12-11,1,121,1,"AGCY EXECUTVE OFFICE, AGCY OFFICE, LONG-TERM AGREEMENT",50184,1914,1,1056600,21.05,10.0,5,101,29,4019,2,1,E006,5,O4,0,1056600,0,1056600,0,0,0,0,0,39.0,0,0,327.25,182.92,327.25,182.92,0,Y,3,2,15615000.0,15615000.0,70771500.0,2004,0,C6-4,1001394,Yes,Commercial,high
2013-12-11,1,122,1,"AGCY EXECUTVE OFFICE, PARK, IN USE-TENANTED, SHORT-TERM AGREEMENT",400000,1914,2,144016,0.36,0.0,5,101,31,1021,2,1,E006,1,O9,0,144016,0,144016,0,0,0,0,0,2.0,0,1,824.0,616.0,215.0,105.0,0,Y,5,5,14603400.0,14603400.0,27106650.0,2000,2001,PARK,1079146,Yes,Park,high
2013-12-11,1,124,4,AGCY OFFICE,12233,1927,1,205000,16.76,10.0,5,101,21,1007,2,1,L010,1,O2,0,205000,0,195200,9800,0,0,0,0,18.0,0,60,86.5,151.83,87.0,152.0,3,Y,4,2,1939500.0,0.0,0.0,1985,2004,C6-4,1001399,Yes,Commercial,high
2013-12-11,1,124,24,AGCY EXECUTVE OFFICE,23773,1964,1,541195,22.77,10.0,5,101,21,1007,2,1,L010,1,O4,0,541195,0,516195,25000,0,0,0,0,30.0,0,36,151.5,162.5,150.0,162.0,0,Y,3,5,5535000.0,0.0,0.0,0,0,C5-3,1001408,Yes,Commercial,high
2013-12-11,1,125,20,AGCY EXECUTVE OFFICE,53354,1959,1,918240,17.21,10.0,5,101,21,1009,2,1,L010,1,O3,0,918240,0,905074,13166,0,0,0,0,19.0,0,33,160.08,335.0,159.0,335.0,1,Y,1,1,8415000.0,0.0,5335650.0,2007,0,C5-3,1001409,Yes,Commercial,high
2013-12-11,1,127,18,AGCY EXECUTVE OFFICE,42601,1987,1,550000,12.91,10.0,5,101,21,2005,2,1,L010,1,O3,0,550000,0,518700,12300,19000,0,0,0,13.0,0,13,165.0,288.0,163.0,276.0,1,Y,1,2,7785000.0,0.0,0.0,2003,0,C6-4,1001415,Yes,Commercial,high
2013-12-11,1,128,2,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",103043,1983,1,1133548,11.0,10.0,5,101,21,2006,2,1,L010,1,O4,0,1133548,0,1059466,9484,0,64598,0,0,26.0,0,10,289.0,344.0,236.0,324.0,1,Y,3,2,17010000.0,0.0,900000.0,2002,0,C6-4,1001416,Yes,Commercial,high
2013-12-11,1,132,7,TRANSIT SUBSTATION,4975,0,1,0,0.0,6.02,7,101,21,2004,2,1,L010,1,U7,0,0,0,0,0,0,0,0,0,0.0,0,0,49.75,100.0,0.0,0.0,0,N,5,5,0.0,0.0,0.0,0,0,C6-2A,1001423,No,Commercial,low
2013-12-11,1,141,39,PARK,4704,0,0,0,0.0,0.0,9,101,39,4010,2,1,E007,1,Q1,0,0,0,0,0,0,0,0,0,0.0,0,0,150.83,60.83,0.0,0.0,0,Y,1,5,792450.0,792450.0,792450.0,0,0,PARK,1000000,No,Park,high
2013-12-11,1,142,1,ELEMENTARY SCHOOL,318603,1988,1,66820,0.21,10.0,8,101,21,2002,2,1,L010,1,W1,0,66820,0,0,0,0,0,0,66820,3.0,0,0,613.0,427.58,92.0,207.0,0,Y,3,5,5448150.0,5448150.0,10433700.0,0,0,C6-4,1001533,Yes,Commercial,high
2013-12-11,1,142,3,OPEN SPACE,4300,0,0,0,0.0,0.0,9,101,21,2002,2,1,L010,1,Q9,0,0,0,0,0,0,0,0,0,0.0,0,0,91.85,43.49,0.0,0.0,0,Y,5,5,1360800.0,0.0,0.0,0,0,PARK,1000000,No,Park,high
2013-12-11,1,142,25,ELEMENTARY SCHOOL,186631,1975,10,1970736,10.56,10.0,4,101,39,3000,2,1,L010,1,D6,0,258866,1711870,0,28866,230000,0,0,0,39.0,1328,1349,808.0,231.5,203.0,148.0,0,Y,3,5,16199550.0,0.0,0.0,0,0,C6-4,1083243,Yes,Commercial,high
2013-12-11,1,142,30,COMMUNITY PARK,0,0,0,0,0.0,0.0,9,101,39,3000,2,1,L010,1,Q1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,N,0,5,11587500.0,11587500.0,11587500.0,0,0,PARK,1000000,No,Park,high
2013-12-11,1,148,10,"FIELD OFFICE-PUBLIC, COURTHOUSE",15008,1920,1,110750,7.38,6.02,5,101,33,2009,2,1,E007,1,O1,0,110750,0,100750,0,0,10000,0,0,7.0,0,3,149.17,99.5,149.0,100.0,3,Y,3,2,2677500.0,0.0,0.0,1985,0,C6-2A,1001621,Yes,Commercial,high
